customer_id,scenario,split,age,tenure_days,monthly_charges,support_tickets,usage_score,service_count,customer_satisfaction,is_month_to_month,churn
volume_anomaly-00001,volume_anomaly,train,56,187,78.87,2,0.7828,2,0.4784,1,1
volume_anomaly-00002,volume_anomaly,train,25,19,37.53,0,0.6311,0,0.7345,1,0
volume_anomaly-00003,volume_anomaly,train,65,225,97.14,2,0.8927,4,0.7312,0,0
volume_anomaly-00004,volume_anomaly,test,32,524,103.89,2,0.6157,0,0.908,1,0
volume_anomaly-00005,volume_anomaly,test,56,286,80.37,0,0.5063,1,0.5723,0,0
volume_anomaly-00006,volume_anomaly,train,41,377,40.2,3,0.3891,3,0.6497,0,1
volume_anomaly-00007,volume_anomaly,train,23,1196,83.47,2,0.4637,4,0.6722,1,0
volume_anomaly-00008,volume_anomaly,train,74,83,64.22,3,0.7259,3,0.6713,0,0
volume_anomaly-00009,volume_anomaly,train,49,451,22.78,0,0.4807,4,0.6099,0,0
volume_anomaly-00010,volume_anomaly,train,27,148,189.08,0,0.5925,2,0.9023,1,1
volume_anomaly-00011,volume_anomaly,test,75,190,58.42,3,0.7271,4,0.569,1,1
volume_anomaly-00012,volume_anomaly,val,67,189,108.95,2,0.8193,3,0.6211,0,1
volume_anomaly-00013,volume_anomaly,test,19,1427,109.17,1,0.3652,0,0.5536,0,0
volume_anomaly-00014,volume_anomaly,test,27,386,83.4,3,0.5205,2,0.6577,1,1
volume_anomaly-00015,volume_anomaly,train,23,67,94.57,3,0.3311,1,0.8561,1,1
volume_anomaly-00016,volume_anomaly,train,37,436,100.41,3,0.6018,4,0.7268,1,1
volume_anomaly-00017,volume_anomaly,test,41,329,41.26,0,0.5576,1,0.8112,0,0
volume_anomaly-00018,volume_anomaly,train,57,62,149.28,1,0.605,3,0.7878,0,0
volume_anomaly-00019,volume_anomaly,train,60,255,77.32,2,0.3223,0,0.6726,0,1
volume_anomaly-00020,volume_anomaly,train,53,103,62.48,2,0.4799,3,0.4287,0,1
volume_anomaly-00021,volume_anomaly,train,43,653,48.98,0,0.2372,1,0.7292,0,0
