customer_id,scenario,split,age,tenure_days,monthly_charges,support_tickets,usage_score,service_count,customer_satisfaction,is_month_to_month,churn
healthy-00001,healthy,train,23,234,121.25,4,0.5143,4,0.6912,1,1
healthy-00002,healthy,train,62,60,23.55,1,0.694,4,0.6795,0,0
healthy-00003,healthy,train,55,252,84.03,2,0.3025,2,0.6059,0,1
healthy-00004,healthy,val,43,927,96.34,0,0.6923,2,0.346,1,1
healthy-00005,healthy,train,43,233,101.39,5,0.6667,1,0.7106,1,1
healthy-00006,healthy,val,67,291,32.34,1,0.8039,1,0.5935,0,0
healthy-00007,healthy,train,22,1150,94.03,1,0.728,3,0.5387,0,0
healthy-00008,healthy,test,58,159,102.29,3,0.81,0,0.7633,1,1
healthy-00009,healthy,val,29,18,83.64,1,0.5279,3,0.4823,1,1
healthy-00010,healthy,test,23,840,43.91,1,0.3775,2,0.8209,1,0
healthy-00011,healthy,val,48,276,62.48,2,0.972,1,0.7725,0,0
healthy-00012,healthy,train,74,57,128.03,1,0.2447,2,0.64,1,1
healthy-00013,healthy,train,60,35,122.15,0,0.2647,5,0.6905,0,0
healthy-00014,healthy,train,62,267,95.62,0,0.663,4,0.5215,1,0
healthy-00015,healthy,train,59,627,104.92,3,0.875,4,0.8126,0,0
healthy-00016,healthy,train,63,12,116.29,2,0.5879,3,0.7281,0,1
healthy-00017,healthy,val,47,29,95.17,1,0.7499,2,0.7393,0,0
healthy-00018,healthy,train,25,44,126.54,2,0.1508,5,0.7753,1,0
healthy-00019,healthy,val,66,67,124.83,1,0.4501,1,0.6036,0,1
healthy-00020,healthy,test,44,399,199.66,1,0.1752,1,0.4721,0,1
healthy-00021,healthy,train,47,22,63.6,2,0.7061,5,0.8436,0,0
healthy-00022,healthy,train,39,763,64.09,0,0.2406,1,0.8033,1,0
healthy-00023,healthy,test,28,1007,18.29,1,0.2944,2,0.6197,1,1
healthy-00024,healthy,train,71,1998,92.29,1,0.6528,1,0.7614,0,0
healthy-00025,healthy,train,63,3,162.89,1,0.7624,1,0.8887,1,1
healthy-00026,healthy,train,55,86,130.61,2,0.5182,1,0.8708,0,0
healthy-00027,healthy,train,41,293,110.18,1,0.664,3,0.6153,1,1
healthy-00028,healthy,val,65,27,134.25,1,0.6576,4,0.4767,1,1
healthy-00029,healthy,train,49,1645,97.04,2,0.5069,3,0.5024,0,0
healthy-00030,healthy,val,43,1342,70.11,6,0.3311,2,0.6532,1,1
healthy-00031,healthy,test,44,273,179.53,2,0.663,3,0.9193,1,1
healthy-00032,healthy,train,31,799,94.15,1,0.6726,5,0.5907,0,0
healthy-00033,healthy,train,23,828,123.72,1,0.7288,1,0.6106,0,0
healthy-00034,healthy,train,50,302,23.46,1,0.6124,2,0.6075,0,0
