customer_id,scenario,split,age,tenure_days,monthly_charges,support_tickets,usage_score,service_count,customer_satisfaction,is_month_to_month,churn
feature_drift-00001,feature_drift,train,47,379,61.13,2,0.3515,1,0.4916,0,1
feature_drift-00002,feature_drift,train,55,155,123.1,1,0.4619,3,0.4845,0,1
feature_drift-00003,feature_drift,test,41,180,57.87,1,0.462,3,0.0,1,1
feature_drift-00004,feature_drift,val,20,810,83.22,0,0.2644,1,0.645,1,1
feature_drift-00005,feature_drift,val,51,209,51.89,3,0.3041,2,0.5016,0,1
feature_drift-00006,feature_drift,train,19,256,59.49,4,0.1866,3,0.6024,1,1
feature_drift-00007,feature_drift,train,34,198,136.88,0,0.071,2,0.3748,0,1
feature_drift-00008,feature_drift,test,66,347,53.71,1,0.0263,1,0.3746,0,1
feature_drift-00009,feature_drift,train,44,1684,100.29,0,0.4022,3,0.4675,1,0
feature_drift-00010,feature_drift,train,52,101,43.59,2,0.0878,1,0.0266,1,1
feature_drift-00011,feature_drift,train,73,429,76.2,1,0.0,0,0.4049,1,1
feature_drift-00012,feature_drift,train,31,175,44.39,2,0.2718,0,0.2501,0,1
feature_drift-00013,feature_drift,val,67,88,116.52,1,0.2639,0,0.0807,1,1
feature_drift-00014,feature_drift,train,61,1603,85.21,1,0.1656,2,0.3895,0,0
feature_drift-00015,feature_drift,train,40,378,94.61,0,0.0914,1,0.2597,0,1
feature_drift-00016,feature_drift,train,33,381,99.27,1,0.3846,5,0.5936,1,0
feature_drift-00017,feature_drift,train,33,418,79.18,2,0.0673,3,0.3388,0,1
feature_drift-00018,feature_drift,train,42,81,141.83,0,0.268,4,0.4003,1,1
feature_drift-00019,feature_drift,train,55,91,106.3,2,0.4571,3,0.3307,0,1
feature_drift-00020,feature_drift,train,44,189,66.44,1,0.2326,2,0.2955,0,1
feature_drift-00021,feature_drift,train,26,467,88.21,1,0.3694,4,0.4612,1,1
feature_drift-00022,feature_drift,train,73,335,68.01,2,0.2522,0,0.3442,1,1
feature_drift-00023,feature_drift,train,40,125,116.65,1,0.0,1,0.2538,0,1
feature_drift-00024,feature_drift,train,69,777,103.19,1,0.5842,1,0.3054,0,1
feature_drift-00025,feature_drift,train,28,1266,94.18,2,0.1547,3,0.4873,0,1
feature_drift-00026,feature_drift,train,34,17,59.0,0,0.1454,0,0.4035,0,1
feature_drift-00027,feature_drift,test,63,97,67.82,3,0.2635,0,0.4551,0,1
feature_drift-00028,feature_drift,train,34,1418,95.03,1,0.3267,0,0.4591,0,1
feature_drift-00029,feature_drift,train,69,187,64.64,0,0.2138,1,0.3487,0,1
feature_drift-00030,feature_drift,train,42,172,145.04,1,0.3213,2,0.472,0,1
feature_drift-00031,feature_drift,train,44,1104,55.85,1,0.4797,2,0.4545,0,0
feature_drift-00032,feature_drift,train,18,233,117.1,1,0.49,3,0.4948,0,1
feature_drift-00033,feature_drift,train,42,843,140.98,0,0.144,0,0.2194,0,1
feature_drift-00034,feature_drift,train,35,423,35.9,1,0.0649,4,0.6666,1,1
feature_drift-00035,feature_drift,train,49,842,81.7,0,0.2488,2,0.4144,0,1
feature_drift-00036,feature_drift,train,73,5,77.6,0,0.1646,4,0.3256,0,1
feature_drift-00037,feature_drift,val,18,24,40.98,0,0.4493,2,0.373,0,1
feature_drift-00038,feature_drift,val,66,431,54.48,3,0.2431,0,0.5432,1,1
feature_drift-00039,feature_drift,train,41,775,42.2,2,0.3691,4,0.1062,0,1
feature_drift-00040,feature_drift,train,49,619,110.59,0,0.1979,1,0.4183,0,1
feature_drift-00041,feature_drift,val,45,290,79.97,0,0.2711,3,0.8998,0,0
feature_drift-00042,feature_drift,train,46,344,22.05,3,0.3764,2,0.4891,0,1
feature_drift-00043,feature_drift,train,65,25,111.21,1,0.1353,1,0.0559,0,1
feature_drift-00044,feature_drift,train,72,2,28.59,1,0.4065,3,0.3877,0,1
feature_drift-00045,feature_drift,train,75,616,82.97,2,0.2038,2,0.712,0,0
feature_drift-00046,feature_drift,train,52,166,94.5,1,0.3108,3,0.3777,1,1
