customer_id,scenario,split,age,tenure_days,monthly_charges,support_tickets,usage_score,service_count,customer_satisfaction,is_month_to_month,churn
label_imbalance-00001,label_imbalance,train,32,19,44.09,1,0.7404,4,0.735,0,0
label_imbalance-00002,label_imbalance,train,60,168,91.93,0,0.4051,3,0.7915,1,0
label_imbalance-00003,label_imbalance,test,45,50,117.1,1,0.375,3,0.746,0,0
label_imbalance-00004,label_imbalance,train,47,83,54.12,2,0.8666,2,0.8807,0,0
label_imbalance-00005,label_imbalance,train,54,406,45.08,1,0.2814,4,0.7925,1,0
label_imbalance-00006,label_imbalance,train,38,56,50.57,1,0.6298,4,0.9032,1,0
label_imbalance-00007,label_imbalance,train,58,273,87.15,2,0.0,4,0.755,1,0
label_imbalance-00008,label_imbalance,test,20,580,112.05,0,0.4936,2,0.817,1,0
label_imbalance-00009,label_imbalance,train,18,155,42.22,3,0.6386,3,0.514,0,0
label_imbalance-00010,label_imbalance,train,51,735,87.84,2,0.7932,4,0.6843,1,0
label_imbalance-00011,label_imbalance,train,53,1011,141.26,1,0.2878,3,0.4208,0,1
label_imbalance-00012,label_imbalance,train,63,529,79.11,2,0.3938,2,0.7748,1,0
label_imbalance-00013,label_imbalance,test,73,338,100.84,1,0.7497,3,0.6468,0,0
label_imbalance-00014,label_imbalance,train,63,776,32.23,3,0.6962,2,0.8272,0,0
label_imbalance-00015,label_imbalance,train,41,105,53.51,3,0.7419,1,1.0,0,0
label_imbalance-00016,label_imbalance,test,55,252,103.74,2,0.4355,1,0.7339,0,0
label_imbalance-00017,label_imbalance,train,56,117,139.01,1,0.7028,3,0.812,0,0
label_imbalance-00018,label_imbalance,train,31,288,69.39,3,0.5946,4,0.8895,1,0
label_imbalance-00019,label_imbalance,train,61,132,87.98,3,0.6478,4,0.8156,0,0
label_imbalance-00020,label_imbalance,train,46,472,42.7,4,0.62,4,0.658,1,0
label_imbalance-00021,label_imbalance,train,73,212,97.27,1,0.5687,2,0.7788,0,0
label_imbalance-00022,label_imbalance,train,51,60,39.83,3,0.5925,1,0.653,0,0
label_imbalance-00023,label_imbalance,train,66,826,81.25,4,0.2941,1,0.691,0,0
label_imbalance-00024,label_imbalance,train,70,1557,55.52,1,0.8125,0,0.2868,0,0
label_imbalance-00025,label_imbalance,val,30,268,93.83,0,0.3795,2,0.8666,0,0
label_imbalance-00026,label_imbalance,train,21,1033,115.43,0,0.7974,4,0.793,0,0
label_imbalance-00027,label_imbalance,val,64,792,78.34,2,0.3634,3,0.7427,0,0
label_imbalance-00028,label_imbalance,train,43,41,88.93,2,0.6139,0,0.9799,0,0
label_imbalance-00029,label_imbalance,train,74,45,75.67,1,0.8654,1,0.7609,0,0
label_imbalance-00030,label_imbalance,val,39,50,42.49,2,0.7511,2,0.9341,0,0
label_imbalance-00031,label_imbalance,train,47,14,101.9,1,0.5303,5,0.6931,1,0
label_imbalance-00032,label_imbalance,train,18,487,30.07,2,0.5304,1,0.9871,1,0
label_imbalance-00033,label_imbalance,train,36,577,60.61,1,0.6058,1,0.8946,0,0
label_imbalance-00034,label_imbalance,test,36,97,56.13,0,0.4576,1,0.9045,0,0
label_imbalance-00035,label_imbalance,test,42,922,55.36,0,0.2222,2,0.7629,0,0
label_imbalance-00036,label_imbalance,train,65,1542,121.05,1,0.2797,2,0.7406,1,0
label_imbalance-00037,label_imbalance,train,63,66,56.59,2,0.5412,3,0.6612,0,0
label_imbalance-00038,label_imbalance,train,44,237,69.29,2,0.6287,3,0.7123,1,1
label_imbalance-00039,label_imbalance,train,56,850,52.84,1,0.4566,5,0.9291,1,0
label_imbalance-00040,label_imbalance,val,60,168,91.93,0,0.4051,3,0.7915,1,0
label_imbalance-00041,label_imbalance,train,64,384,102.81,1,0.7805,3,0.6532,0,0
label_imbalance-00042,label_imbalance,train,64,353,74.23,2,0.388,4,0.7398,0,0
label_imbalance-00043,label_imbalance,train,32,739,40.88,2,0.488,0,0.5385,0,1
label_imbalance-00044,label_imbalance,train,40,676,86.04,2,0.4942,3,0.4879,0,0
label_imbalance-00045,label_imbalance,test,63,21,50.94,1,0.4348,2,0.9466,0,0
label_imbalance-00046,label_imbalance,train,74,87,43.67,0,0.5656,2,0.415,0,0
label_imbalance-00047,label_imbalance,train,66,189,47.64,1,0.995,1,0.784,1,0
label_imbalance-00048,label_imbalance,val,49,1422,84.59,1,0.6221,2,0.7731,1,0
