customer_id,scenario,split,age,tenure_days,monthly_charges,support_tickets,usage_score,service_count,customer_satisfaction,is_month_to_month,churn
regression-00001,regression,train,47,254,84.55,0,0.6852,1,0.8598,1,0
regression-00002,regression,train,70,17,64.92,2,0.6017,4,0.6707,1,0
regression-00003,regression,train,30,625,79.59,2,0.7365,2,0.8513,0,0
regression-00004,regression,train,22,235,104.89,4,0.3652,1,0.9282,1,0
regression-00005,regression,train,49,223,99.57,2,0.6048,6,0.7575,0,1
regression-00006,regression,train,33,1533,42.67,1,0.4382,2,0.8863,0,0
regression-00007,regression,train,32,738,118.51,1,0.3723,2,0.99,0,0
regression-00008,regression,test,54,107,90.23,3,0.8974,3,0.6353,0,1
regression-00009,regression,train,25,107,15.0,0,0.2627,0,0.8047,1,1
regression-00010,regression,train,72,649,49.12,0,0.357,2,0.7312,0,0
regression-00011,regression,val,64,1476,36.36,5,0.5101,3,0.8286,0,0
regression-00012,regression,train,22,197,132.17,1,0.7566,2,0.5313,1,1
regression-00013,regression,train,62,836,32.77,2,0.7917,1,0.4434,1,1
regression-00014,regression,train,54,3,69.58,0,0.7579,1,0.3825,0,1
regression-00015,regression,train,64,572,141.68,0,0.6121,2,0.6496,0,0
regression-00016,regression,val,62,6,78.28,0,0.2715,0,0.8058,1,1
regression-00017,regression,train,31,106,86.3,1,0.0912,0,0.4346,0,0
regression-00018,regression,train,47,548,88.01,3,0.7186,1,0.647,0,0
regression-00019,regression,val,44,224,79.89,0,0.3118,4,0.5845,0,1
regression-00020,regression,train,61,1097,98.89,1,0.8699,4,0.7207,1,0
regression-00021,regression,train,60,396,64.84,1,0.4938,2,0.6537,1,0
regression-00022,regression,train,69,144,34.31,0,0.6841,1,0.7106,0,0
regression-00023,regression,train,51,706,53.8,1,0.602,1,0.8357,1,0
regression-00024,regression,train,46,476,37.81,3,0.505,0,0.5572,0,1
regression-00025,regression,val,47,137,132.64,0,0.2284,2,0.7046,0,1
regression-00026,regression,val,64,905,114.98,1,0.3436,3,0.7851,0,0
regression-00027,regression,train,62,725,95.62,1,0.7612,4,0.6318,1,0
regression-00028,regression,train,21,381,101.33,0,0.7039,1,0.599,0,0
regression-00029,regression,train,54,204,75.56,3,0.2918,0,0.4939,0,0
regression-00030,regression,train,60,392,163.18,1,0.9722,3,0.8829,1,0
regression-00031,regression,test,27,645,36.63,1,0.6063,0,0.7976,0,0
regression-00032,regression,train,62,58,37.83,2,0.7955,2,0.6424,0,1
regression-00033,regression,train,63,275,55.49,4,0.626,2,0.5219,0,1
regression-00034,regression,train,21,85,52.48,0,0.5341,1,0.7716,1,0
regression-00035,regression,train,72,788,119.32,1,0.7968,2,0.7271,1,0
regression-00036,regression,train,24,20,101.14,2,0.4854,1,0.7781,1,0
regression-00037,regression,test,32,156,54.15,2,0.5608,0,0.7557,1,0
regression-00038,regression,train,40,11,95.76,1,0.9352,2,0.7994,0,0
regression-00039,regression,train,33,105,100.37,2,0.3883,3,0.7408,1,0
regression-00040,regression,train,36,508,57.47,0,0.2875,2,0.9239,0,0
regression-00041,regression,train,68,942,105.91,5,0.5341,0,0.4457,0,1
regression-00042,regression,train,32,488,124.81,0,0.6327,2,0.6596,1,1
regression-00043,regression,train,36,161,56.13,1,0.6924,2,0.8178,0,0
regression-00044,regression,test,66,1028,69.9,4,0.8173,1,0.6261,1,0
regression-00045,regression,train,73,205,88.8,1,0.6531,4,0.8826,1,0
regression-00046,regression,train,18,139,104.76,0,0.8892,1,1.0,1,0
regression-00047,regression,train,31,1239,51.06,1,0.7515,3,0.732,1,0
regression-00048,regression,train,28,494,65.82,3,0.5321,2,0.6534,0,1
regression-00049,regression,test,37,284,111.01,4,0.6167,5,0.7462,1,1
regression-00050,regression,train,55,546,159.1,2,0.3806,4,0.8166,1,0
regression-00051,regression,test,54,656,54.56,0,0.5164,2,0.8434,0,0
regression-00052,regression,train,45,377,44.46,2,0.5762,3,0.5975,0,1
